what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548393291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548398571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548407691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348548408524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548438467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548444565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548448175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548448852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548450516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548454432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548464593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548466090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548481183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548483225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548488707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548489964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548490394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548490760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348548500860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348548501532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548504512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548520231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548523458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548527191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548527885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548528226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548528556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548528866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548529341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548532047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548533788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548538568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348548542766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548544477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548545194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548546294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548549824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548553712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548554731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548565473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548576349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548578398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548586644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548615363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548616030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548625151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548637924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548642543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548642591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548646598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548648012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548654830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548660266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548661456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548666804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548672351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548688096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548694217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548695930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548701223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548722596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548725866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548725920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548728471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548730127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548733582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548738302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548739182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548749998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548752702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548756718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548760438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548761600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548764865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548767682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548769159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548774518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548780146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548781373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548802309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548808475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548814000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548815030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548819054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548842512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348548843072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348548849453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548853925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548857082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548857586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548858098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348548858537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348548956531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548969621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348548983140
