what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1348549963186
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1348549963633
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1348549963871
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1348549967128
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1348549967524
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1348549968992
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1348549969254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348549977213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1348549979252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348549980746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550010920
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1348550012446
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1348550016319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550026697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550028721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550033541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348550034375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348550035026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550056315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550059314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550063074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550074643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550104094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1348550131085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348550132663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550141097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550143318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550148186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550161521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550162491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550168130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348550212888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348550220335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550221972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550223493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550227542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550239368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550240355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550243823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550249377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550250239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550254863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550260075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550260961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550266784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550270234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550271090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550274139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550275035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550277058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348550277620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348550278386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550279443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550280578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550281013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550281935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550297384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550324803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550325652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348550328375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348550329660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348550343608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348550347243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348550356885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550358370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550362630
